,text,scores,boxes,centroid,source
99,o,0.5373362302780151,"[[1870.0, 753.0], [1900.0, 753.0], [1900.0, 779.0], [1870.0, 779.0]]",POINT (1885 766),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
100,oakti,0.9396836161613464,"[[1078.0, 795.0], [1136.0, 795.0], [1136.0, 817.0], [1078.0, 817.0]]",POINT (1107 806),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
101,rumahkos surb,0.9883676767349243,"[[984.0, 801.0], [1084.0, 801.0], [1084.0, 821.0], [984.0, 821.0]]",POINT (1034 811),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
102,o bc jomet,0.9341131448745728,"[[1728.0, 809.0], [1812.0, 809.0], [1812.0, 831.0], [1728.0, 831.0]]",POINT (1770 820),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
103,warung pojok dago,0.9837990999221802,"[[1275.0, 847.0], [1433.0, 856.0], [1431.0, 884.0], [1273.0, 875.0]]",POINT (1353 865.5),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
104,su,0.8837389945983887,"[[1818.0, 46.0], [1844.0, 46.0], [1844.0, 72.0], [1818.0, 72.0]]",POINT (1831 59),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
105,smp yuwati bhak,0.9668521881103516,"[[864.0, 207.0], [970.0, 207.0], [970.0, 221.0], [864.0, 221.0]]",POINT (917 214),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
106,hotel new be,0.9581063389778137,"[[1804.0, 211.0], [1916.0, 211.0], [1916.0, 233.0], [1804.0, 233.0]]",POINT (1860 222),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
107,kwaltisekretariat,0.7992138862609863,"[[131.0, 248.0], [279.0, 239.0], [281.0, 275.0], [134.0, 284.0]]",POINT (206.22784810126583 261.4810126582278),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
108,cafe kappe,0.9967371225357056,"[[1610.0, 335.0], [1692.0, 335.0], [1692.0, 355.0], [1610.0, 355.0]]",POINT (1651 345),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
109,ef si,0.7312353849411011,"[[1854.0, 339.0], [1918.0, 339.0], [1918.0, 369.0], [1854.0, 369.0]]",POINT (1886 354),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
110,o mall,0.9441080689430237,"[[1377.0, 405.0], [1435.0, 400.0], [1437.0, 422.0], [1379.0, 427.0]]",POINT (1407 413.5),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
111,fitline fitness centre o,0.9808627963066101,"[[336.0, 443.0], [502.0, 443.0], [502.0, 468.0], [336.0, 468.0]]",POINT (419 455.5),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
112,o kopi dermawan,0.9622605443000793,"[[1354.0, 446.0], [1484.0, 446.0], [1484.0, 468.0], [1354.0, 468.0]]",POINT (1419 457),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
113,o smp yb,0.9685689210891724,"[[906.0, 460.0], [984.0, 460.0], [984.0, 482.0], [906.0, 482.0]]",POINT (945 471),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
114,ive hub q,0.9235790967941284,"[[72.0, 481.0], [151.0, 476.0], [152.0, 498.0], [73.0, 503.0]]",POINT (112 489.5),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
115,gkp jemaat sukabumi,0.9865306615829468,"[[600.0, 514.0], [772.0, 514.0], [772.0, 540.0], [600.0, 540.0]]",POINT (686 527),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
116,apotek surya kencana,0.9621249437332153,"[[1176.0, 516.0], [1348.0, 516.0], [1348.0, 542.0], [1176.0, 542.0]]",POINT (1262 529),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
117,ra/ba/ta baitul ulur,0.9517446160316467,"[[1754.0, 518.0], [1916.0, 520.0], [1916.0, 546.0], [1754.0, 544.0]]",POINT (1835 532),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
118,gerai im3 sukabumi o,0.9716415405273438,"[[396.0, 552.0], [562.0, 548.0], [562.0, 576.0], [396.0, 580.0]]",POINT (479 564),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
119,o kopitiam sukabumi,0.9517480134963989,"[[1146.0, 562.0], [1302.0, 562.0], [1302.0, 590.0], [1146.0, 590.0]]",POINT (1224 576),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
120,milrumna kraif,0.565898597240448,"[[104.0, 586.0], [256.0, 586.0], [256.0, 622.0], [104.0, 622.0]]",POINT (180 604),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
121,warkop sari rasa w,0.9699211120605469,"[[768.0, 660.0], [908.0, 660.0], [908.0, 682.0], [768.0, 682.0]]",POINT (838 671),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
122,jarian,0.9987988471984863,"[[74.0, 676.0], [112.0, 676.0], [112.0, 692.0], [74.0, 692.0]]",POINT (93 684),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
123,photoc,0.8837007880210876,"[[1065.0, 677.0], [1157.0, 682.0], [1155.0, 708.0], [1063.0, 703.0]]",POINT (1110 692.5),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
124,kaos pakaian kerja,0.9931369423866272,"[[1338.0, 688.0], [1462.0, 688.0], [1462.0, 708.0], [1338.0, 708.0]]",POINT (1400 698),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
125,toko fotokopi,0.9996583461761475,"[[1100.0, 702.0], [1168.0, 702.0], [1168.0, 716.0], [1100.0, 716.0]]",POINT (1134 709),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
126,sukabumi_florist,0.971895158290863,"[[130.0, 716.0], [254.0, 716.0], [254.0, 736.0], [130.0, 736.0]]",POINT (192 726),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
127,o fixapple solutions,0.9860801696777344,"[[650.0, 765.0], [796.0, 765.0], [796.0, 787.0], [650.0, 787.0]]",POINT (723 776),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
128,sdn dewi sartika cbm,0.9941730499267578,"[[1300.0, 761.0], [1474.0, 761.0], [1474.0, 787.0], [1300.0, 787.0]]",POINT (1387 774),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
129,warung nasi bu dana,0.9708763360977173,"[[229.0, 774.0], [399.0, 765.0], [401.0, 793.0], [231.0, 802.0]]",POINT (315 783.5),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
130,pisamicmontespori,0.7235760688781738,"[[1548.0, 765.0], [1712.0, 765.0], [1712.0, 801.0], [1548.0, 801.0]]",POINT (1630 783),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
131,3store sukab,0.9507849812507629,"[[502.0, 789.0], [588.0, 789.0], [588.0, 811.0], [502.0, 811.0]]",POINT (545 800),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
